src:START_ID	dst:END_ID	type:TYPE	verb
265	249	REL	`reduced; were incorporated compared`
1	266	REL	`was found to enhance; antibodies inhibited`
1	252	REL	`was found to enhance; antibodies inhibited`
1	267	REL	`revealed; suggesting`
268	56	REL	`induced; improved`
269	56	REL	`induced; improved`
74	73	REL	`was incorporated; released`
1	0	REL	`was associated; suggesting`
1	270	REL	`has been found to induce; participating`
1	0	REL	`considered to be; causing`
127	129	REL	`expressed; identified`
127	97	REL	`expressed; identified`
1	0	REL	`is increased; is considered to be`
1	271	REL	`is increased; is considered to be`
45	120	REL	`were detected; suggesting`
272	120	REL	`may be released; following`
1	139	REL	`were expressed; were observed`
141	139	REL	`were expressed; were observed`
130	273	REL	`was found; suggesting`
1	130	REL	`might contribute to; increasing`
1	168	REL	`might contribute to; increasing`
1	141	REL	`might contribute to; increasing`
274	275	REL	`fortified; decreased`
274	276	REL	`fortified; decreased`
274	45	REL	`fortified; decreased`
274	277	REL	`fortified; decreased`
1	278	REL	`has been found to correlate`
121	1	REL	`exhibited increased`
122	1	REL	`exhibited increased`
1	43	REL	`is increased; accompanied`
160	1	REL	`intermediates; decreased`
279	280	REL	`was found surrounding`
0	121	REL	`reduced; demonstrating`
50	63	REL	`was synthesized to not; reduce`
1	45	REL	`was associated; demonstrated`
1	106	REL	`was associated; demonstrated`
1	244	REL	`was associated; demonstrated`
125	122	REL	`found to be; differentiating`
170	1	REL	`were found; compared; fed`
171	1	REL	`were found; compared; fed`
172	1	REL	`increased; compared; fed`
42	0	REL	`was; found`
1	0	REL	`was; found`
1	0	REL	`was; increased not`
62	69	REL	`increased; was`
62	68	REL	`increased; was`
24	281	REL	`has been; caused`
26	281	REL	`has been; caused`
1	0	REL	`was found; was not`
1	109	REL	`was; to affect`
1	45	REL	`was; to affect`
1	45	REL	`is; is upregulated`
1	18	REL	`is; is upregulated`
1	26	REL	`is; is upregulated`
18	1	REL	`was; were found associated`
1	125	REL	`is; controlling`
1	130	REL	`is; controlling`
282	125	REL	`is; controlling`
282	130	REL	`is; controlling`
283	132	REL	`is; associated`
283	284	REL	`is; associated`
283	285	REL	`is; associated`
122	132	REL	`is; associated`
122	284	REL	`is; associated`
122	285	REL	`is; associated`
1	52	REL	`is; inducing`
134	43	REL	`have found; to be`
141	286	REL	`is expressed; is`
141	287	REL	`is expressed; is`
1	288	REL	`associated; will be`
289	274	REL	`is; producing`
263	290	REL	`is; contained`
25	22	REL	`can bind`
25	1	REL	`can bind`
125	122	REL	`were overexpressed`
1	122	REL	`were overexpressed`
291	292	REL	`incubated; washed; blocked`
123	1	REL	`is predicted to lie; is expected to exert; affecting`
125	122	REL	`are overexpressed`
1	122	REL	`are overexpressed`
275	293	REL	`simulated`
276	293	REL	`simulated`
45	293	REL	`simulated`
277	293	REL	`simulated`
14	294	REL	`can downregulate; implying; interfering`
14	25	REL	`can downregulate; implying; interfering`
47	294	REL	`can downregulate; implying; interfering`
47	25	REL	`can downregulate; implying; interfering`
48	294	REL	`can downregulate; implying; interfering`
48	25	REL	`can downregulate; implying; interfering`
49	294	REL	`can downregulate; implying; interfering`
49	25	REL	`can downregulate; implying; interfering`
50	57	REL	`could repair; regulating; promoting`
50	56	REL	`could repair; regulating; promoting`
72	57	REL	`could repair; regulating; promoting`
72	56	REL	`could repair; regulating; promoting`
0	1	REL	`express; making; studying`
263	262	REL	`extracts; have been detected; occurs`
263	295	REL	`extracts; have been detected; occurs`
263	296	REL	`extracts; have been detected; occurs`
263	297	REL	`extracts; have been detected; occurs`
68	57	REL	`showed; showing; can enhance`
264	298	REL	`are released; remain; might have generated`
1	45	REL	`were investigated; was found; correlated`
55	245	REL	`incorporated; can generate; regulating`
1	299	REL	`may contribute; inducing; contributing to tissue`
1	0	REL	`expressed; represents; identifies`
55	63	REL	`doped; was synthesized to not; reduce`
1	228	REL	`was suppressed; was activated to dispose`
36	228	REL	`was suppressed; was activated to dispose`
160	228	REL	`was suppressed; was activated to dispose`
227	156	REL	`was activated to dispose; was generated`
227	155	REL	`was activated to dispose; was generated`
227	152	REL	`was activated to dispose; was generated`
227	160	REL	`was activated to dispose; was generated`
227	300	REL	`was activated to dispose; was generated`
1	57	REL	`is; involved; associated`
282	57	REL	`is; involved; associated`
122	52	REL	`was shown to be co-expressed`
1	52	REL	`was shown to be co-expressed`
1	52	REL	`shown to stimulate; decided to assess`
52	122	REL	`was shown to be co-expressed`
52	45	REL	`was shown to be co-expressed`
52	1	REL	`was shown to be co-expressed`
1	122	REL	`shown to stimulate; decided to assess`
144	301	REL	`is; suggesting; is expressed`
302	303	REL	`concluded; is; reducing`
125	304	REL	`were overexpressed; led`
305	304	REL	`were overexpressed; led`
306	209	REL	`consisted; bound`
307	45	REL	`fixed`
307	308	REL	`fixed`
309	310	REL	`were used`
309	13	REL	`were used`
56	311	REL	`related`
312	313	REL	`were fixed`
314	315	REL	`using; grinding`
1	0	REL	`was related`
1	316	REL	`was related`
0	317	REL	`were obtained`
0	45	REL	`were obtained`
1	45	REL	`were obtained`
109	318	REL	`based`
109	319	REL	`based`
0	94	REL	`based`
1	108	REL	`was related`
1	320	REL	`was related`
1	104	REL	`was related`
1	45	REL	`was related`
1	110	REL	`was related`
1	321	REL	`was related`
112	322	REL	`related`
112	323	REL	`related`
112	324	REL	`related`
112	111	REL	`related`
112	113	REL	`related`
112	325	REL	`related`
112	326	REL	`related`
112	327	REL	`related`
1	322	REL	`related`
1	323	REL	`related`
1	324	REL	`related`
1	111	REL	`related`
1	113	REL	`related`
1	325	REL	`related`
1	326	REL	`related`
1	327	REL	`related`
112	1	REL	`may be related`
125	120	REL	`can be used`
121	120	REL	`can be used`
1	120	REL	`can be used`
328	329	REL	`using`
122	329	REL	`using`
45	329	REL	`using`
1	289	REL	`were selected based`
1	330	REL	`were selected based`
125	289	REL	`were selected based`
125	330	REL	`were selected based`
1	331	REL	`using`
1	36	REL	`using`
1	332	REL	`using`
168	160	REL	`linked`
130	160	REL	`linked`
333	334	REL	`using`
147	1	REL	`fed`
47	1	REL	`fed`
335	336	REL	`using`
335	337	REL	`using`
338	160	REL	`used`
1	160	REL	`used`
1	335	REL	`used`
182	339	REL	`grinded`
182	340	REL	`grinded`
182	341	REL	`grinded`
182	342	REL	`grinded`
182	287	REL	`be used`
343	344	REL	`using`
343	345	REL	`using`
182	346	REL	`used`
182	347	REL	`used`
182	348	REL	`used`
349	350	REL	`has been linked`
293	45	REL	`using`
351	352	REL	`linked`
351	353	REL	`linked`
354	352	REL	`linked`
354	353	REL	`linked`
355	352	REL	`linked`
355	353	REL	`linked`
356	352	REL	`linked`
356	353	REL	`linked`
357	352	REL	`linked`
357	353	REL	`linked`
205	352	REL	`linked`
205	353	REL	`linked`
358	352	REL	`linked`
358	353	REL	`linked`
359	359	REL	`was used`
360	306	REL	`been used`
361	353	REL	`linked`
50	57	REL	`showed; was; immunomodulating; enhancing`
50	56	REL	`showed; was; immunomodulating; enhancing`
72	57	REL	`showed; was; immunomodulating; enhancing`
72	56	REL	`showed; was; immunomodulating; enhancing`
125	122	REL	`showed decreased; is`
125	362	REL	`showed decreased; is`
223	223	REL	`were taken using`
363	364	REL	`was stained using`
363	365	REL	`was stained using`
366	146	REL	`tend to form`
50	367	REL	`was taped; using`
72	367	REL	`was taped; using`
1	109	REL	`played; related`
1	350	REL	`were selected based; predicted`
125	350	REL	`were selected based; predicted`
368	146	REL	`are obtained; does not result`
369	146	REL	`are obtained; does not result`
182	370	REL	`grinded; to make; preventing`
182	371	REL	`grinded; to make; preventing`
182	372	REL	`grinded; to make; preventing`
210	359	REL	`used to extract; extracted`
210	200	REL	`used to extract; extracted`
18	41	REL	`were evaluated using`
18	1	REL	`were evaluated using`
1	41	REL	`were evaluated using`
1	1	REL	`were evaluated using`
50	373	REL	`were measured using`
62	373	REL	`were measured using`
374	373	REL	`were measured using`
50	72	REL	`shaken; to obtain`
72	50	REL	`shaken; to obtain`
249	50	REL	`shaken; to obtain`
249	72	REL	`shaken; to obtain`
52	247	REL	`was used; compared`
54	247	REL	`was used; compared`
78	247	REL	`was used; compared`
94	375	REL	`were calculated using`
